date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:15	15453/15453	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2007:45:15%20GMT	https://rustavalon.com/	C:/My%20Web%20Sites/EE/rustavalon.com/index.html	(from )
17:45:15	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2007:45:15%20GMT	https://rustavalon.com/login	C:/My%20Web%20Sites/EE/rustavalon.com/login.0.delayed	(from )
17:45:15	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2025%20Apr%202025%2007:45:15%20GMT	https://steamcommunity.com/openid/login?openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.mode=checkid_setup&openid.return_to=https%3A%2F%2Frustavalon.com%2Flogin&openid.realm=https%3A%2F%2Frustavalon.com&openid.ns.sreg=http%3A%2F%2Fopenid.net%2Fextensions%2Fsreg%2F1.1&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select	C:/My%20Web%20Sites/EE/steamcommunity.com/openid/login.1cd5e.delayed	(from )
17:45:16	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d248ca-24a3%22	https://fredirca.github.io/faq	C:/My%20Web%20Sites/EE/fredirca.github.io/faq.2.delayed	(from )
17:45:16	65500/65500	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2007:45:16%20GMT	https://steamcommunity.com/openid/loginform/?goto=%2Fopenid%2Flogin%3Fopenid.ns%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%26openid.mode%3Dcheckid_setup%26openid.return_to%3Dhttps%253A%252F%252Frustavalon.com%252Flogin%26openid.realm%3Dhttps%253A%252F%252Frustavalon.com%26openid.ns_sreg%3Dhttp%253A%252F%252Fopenid.net%252Fextensions%252Fsreg%252F1.1%26openid.claimed_id%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select%26openid.identity%3Dhttp%253A%252F%252Fspecs.openid.net%252Fauth%252F2.0%252Fidentifier_select	C:/My%20Web%20Sites/EE/steamcommunity.com/openid/loginform/index89ea.html	(from )
17:45:16	128/128	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2007:45:16%20GMT	https://rustavalon.com/robots.txt		(from )
17:45:17	21243/21243	---M--	200	added ('OK')	image/jpeg	etag:%2267f785d3-52fb%22	https://rustavalon.com/img/ogimage.jpg	C:/My%20Web%20Sites/EE/rustavalon.com/img/ogimage.jpg	(from https://rustavalon.com/)
17:45:17	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2267f785de-47e%22	https://rustavalon.com/favicon.ico	C:/My%20Web%20Sites/EE/rustavalon.com/favicon.ico	(from https://rustavalon.com/)
17:45:17	2395/2395	---MCZ	200	added ('OK')	text/css	etag:W/%2267f785f4-95b%22	https://rustavalon.com/css/simplebar.css?v=70	C:/My%20Web%20Sites/EE/rustavalon.com/css/simplebardeda.css	(from https://rustavalon.com/)
17:45:18	94365/94365	---MCZ	200	added ('OK')	text/css	etag:W/%2267f785f3-1709d%22	https://rustavalon.com/css/stylego.css?v=77	C:/My%20Web%20Sites/EE/rustavalon.com/css/stylego512a.css	(from https://rustavalon.com/)
17:45:18	1831/1831	---MCZ	200	added ('OK')	text/css	etag:W/%2267f785f3-727%22	https://rustavalon.com/css/popup.css?v=70	C:/My%20Web%20Sites/EE/rustavalon.com/css/popupdeda.css	(from https://rustavalon.com/)
17:45:18	546331/546331	---M--	200	added ('OK')	image/png	etag:%2267f785d3-8561b%22	https://rustavalon.com/img/bg3.png	C:/My%20Web%20Sites/EE/rustavalon.com/img/bg3.png	(from https://rustavalon.com/)
17:45:18	85577/85577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f785d7-14e49%22	https://rustavalon.com/js/jquery-2.1.4.min.js	C:/My%20Web%20Sites/EE/rustavalon.com/js/jquery-2.1.4.min.js	(from https://rustavalon.com/)
17:45:20	11843/11843	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Apr%202025%2007:45:20%20GMT	https://rustavalon.com/faq	C:/My%20Web%20Sites/EE/rustavalon.com/faq.html	(from https://rustavalon.com/)
17:45:20	124834/124834	---M--	200	added ('OK')	image/png	etag:%2267f785ce-1e7a2%22	https://rustavalon.com/img/banner-skinport1.png	C:/My%20Web%20Sites/EE/rustavalon.com/img/banner-skinport1.png	(from https://rustavalon.com/)
